platform_inferred,disclosure_found_html,disclosure_type,disclosure_matched_phrase,required_sentence_standalone,inside_modal,modal_forced_or_dialog_like,clicks_to_visible,requires_scroll_to_see_disclosure,disclosure_after_cta_dom,disclosure_below_cta_screenshot,disclosure_below_primary_cta_screenshot,disclosure_after_total_dom,disclosure_below_total_screenshot,disclosure_inside_legal_disclaimer_block,required_sentence_inside_legal_disclaimer_block,disclosure_area_pct_of_viewport,required_sentence_area_pct_of_viewport,manual_disclosure_contrast_ratio,manual_required_sentence_contrast_ratio,distance_disclosure_to_total_as_viewport_width_pct,pre_action_visibility_score_0_to_10,price_proximity_score_0_to_10,legal_burial_score_0_to_10,prominence_score_0_to_10,placement_score_0_to_10,friction_score_0_to_10,overall_simple_score_0_to_10,overall_evidence_confidence,top_policy_concern,top_policy_concern_explanation,validation_warning_count
doordash,True,modal,this price was set by an algorithm using your personal data,False,True,True,0,False,False,False,False,,,True,False,8.484717327909513,0.8652036707244497,17.581691183046004,17.581691183046004,,10.0,0.0,4.0,6.0,6.0,7.0,6.333333333333333,medium,modal_separate_from_price,Disclosure appears modal-like in DOM and is not inside the annotated order summary panel.,2
instacart,True,inline_order_summary,this price was set by an algorithm using your personal data,True,False,False,3,False,True,True,True,True,True,False,False,1.1709453491993738,0.39329462110513314,20.872724397116222,20.872724397116222,22.90532643816181,3.0,9.0,7.0,6.0,4.0,3.0,4.333333333333333,high,below_cta,Disclosure is below the primary CTA in screenshot or manual classification.,0
postmates,True,inline_order_summary,this price was set by an algorithm using your personal data,True,False,False,5,True,,True,True,True,True,True,True,1.1698528505570025,0.560554490891897,10.799209034303885,10.799209034303885,15.770907814468968,1.0,9.0,6.0,6.0,4.0,3.0,4.333333333333333,high,below_cta,Disclosure is below the primary CTA in screenshot or manual classification.,0
ubereats,True,inline_order_summary,this price was set by an algorithm using your personal data,True,False,False,5,True,,False,False,True,True,True,True,1.4187577123776411,1.4187577123776411,21.0,1.109620634183961,12.941627678517643,1.0,9.0,6.0,6.0,4.0,3.0,4.333333333333333,high,below_cta,Disclosure is below the primary CTA in screenshot or manual classification.,0
