capture_file,platform_inferred,disclosure_found_html,disclosure_matched_phrase,disclosure_text,disclosure_word_count,disclosure_char_count,disclosure_type,inside_modal,modal_title,modal_forced_or_dialog_like,disclosure_after_total_dom,disclosure_after_cta_dom,disclosure_before_cta_dom,total_found_html,cta_found_html,cta_text,number_of_disclaimer_paragraphs_before_disclosure,disclosure_paragraph_index,words_before_required_sentence,required_sentence_standalone,required_sentence_bolded,same_container_as_total,same_container_as_cta,disclosure_near_total_dom,fee_related_rows_before_disclosure,links_buttons_icons_near_disclosure,wcag_contrast_ratio,contrast_background_assumed,parsed_styles_interesting_json,full_style_keys_count,style_color,style_background_color,style_font_size,style_font_weight,style_line_height,style_display,style_opacity,style_visibility,style_position,style_width,style_height,style_padding,style_border,style_box_shadow,style_border_radius,subtotal_found_html,delivery_fee_found_html,service_fee_found_html,regulatory_response_fee_found_html,legal_disclaimer_blocks_found_html,screenshot_path,screenshot_width,screenshot_height,fold_y_px_used,disclosure_box_x,disclosure_box_y,disclosure_box_width,disclosure_box_height,disclosure_area_px,disclosure_area_share_of_viewport,disclosure_above_fold,disclosure_fully_above_fold,disclosure_below_total_screenshot,disclosure_below_cta_screenshot,disclosure_inside_summary_panel,disclosure_inside_legal_disclaimer_block,disclosure_inside_modal_box,distance_disclosure_to_total_px,vertical_gap_disclosure_total_px,distance_disclosure_to_cta_px,vertical_gap_disclosure_cta_px,modal_area_share_of_viewport,screenshot_disclosure_luminance_p10,screenshot_disclosure_luminance_p50,screenshot_disclosure_luminance_p90,clicks_to_visible,requires_login,checkout_stage,annotated_screenshot_path,box_format_used,screenshot_loaded,screenshot_path_resolved,annotation_found,invalid_boxes,missing_boxes,visual_metrics_confidence,placement_metrics_confidence,manual_rgb_values_present,workflow_metadata_present,annotation_wcag_contrast_ratio,prominence_score_0_to_10,placement_score_0_to_10,friction_score_0_to_10,overall_simple_score_0_to_10,notes_auto,disclosure_research_index_note
C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/doordash.txt,doordash,True,this price was set by an algorithm using your personal data,"Regulations in New York City have increased the cost of facilitating deliveries. As a result, we charge a $1.99 NYC Regulatory Response Fee to delivery orders in the NYC area. Also, NY law requires that we make the following disclosure because we use information such as your delivery address to calculate distance and fees, and your past orders and favorite stores to provide personalized promotions and/or discounts: This price was set by an algorithm using your personal data.",78,479,modal,True,,True,,False,True,False,True,Got It,0,,31,False,False,False,True,False,0,1,17.581691183046004,False,"{""background-color"": ""rgb(255, 255, 255)"", ""width"": ""334px"", ""height"": ""601px"", ""display"": ""flex"", ""padding"": ""0px"", ""box-shadow"": ""var(--usage-elevation-5)"", ""border-radius"": ""var(--usage-border-radius-large)"", ""position"": ""fixed""}",114,,"rgb(255, 255, 255)",,,,flex,,,fixed,334px,601px,0px,,var(--usage-elevation-5),var(--usage-border-radius-large),False,False,False,True,0,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/doordash.png,3323,1741,1741,1000,972,1285,382,490870,0.08484717327909512,True,True,,False,,True,True,,,304.79911417194114,-555,0.3447840516975398,,,,0,True,checkout_summary,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/output/annotated_doordash.png,x1_x2_y1_y2,True,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/doordash.png,True,total_price_box: x2 (0) <= x1 (0); total_row_box: x2 (0) <= x1 (0); summary_panel_box: x2 (0) <= x1 (0),,1.0,0.75,True,True,17.581691183046004,6.0,6.0,7.0,6.333333333333333,Disclosure found in modal dialog. Disclosure appears before primary CTA in DOM.,Provisional research index only; not a legal assessment.
C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/instacart.txt,instacart,True,this price was set by an algorithm using your personal data,"New York law requires the following disclosure because certain prices and/or fees may vary based on randomized tests, we use personal information (such as delivery address) to calculate fees, and we offer certain personalized incentives: this price was set by an algorithm using your personal data.",46,298,inline_order_summary,False,,False,True,True,False,True,True,Continue,2,4.0,0,True,False,True,True,False,20,0,20.872724397116222,True,"{""font-weight"": ""400 800"", ""width"": ""349.992px"", ""height"": ""2693.39px""}",16,,,,400 800,,,,,,349.992px,2693.39px,,,,,False,True,True,True,9,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/instacart.png,2890,1622,1622,1698,1269,419,131,54889,0.011709453491993737,True,True,True,True,True,False,,661.9639340628763,555.0,402.5111799689544,301,,,,,0,True,checkout_summary,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/output/annotated_instacart.png,x1_x2_y1_y2,True,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/instacart.png,True,,,1.0,0.95,True,True,20.872724397116222,6.0,4.0,6.0,5.333333333333333,Disclosure appears after primary CTA in DOM. Disclosure appears after 2 disclaimer paragraphs. Disclosure appears below total in screenshot annotation. Disclosure appears below primary CTA in screenshot annotation.,Provisional research index only; not a legal assessment.
C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/postmates.txt,postmates,True,this price was set by an algorithm using your personal data,This price was set by an algorithm using your personal data. Your location is used to help us calculate fees and savings. Prices may be lower in store.,28,151,inline_order_summary,False,,False,True,,,True,False,,0,,0,True,False,True,False,False,9,0,10.799209034303885,True,{},0,,,,,,,,,,,,,,,,True,True,True,False,0,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/postmates.png,3323,1741,1741,2088,975,705,96,67680,0.011698528505570025,True,True,True,True,True,True,,524.0672666748038,33.0,1371.5367293660056,137,,,,,0,True,checkout_summary,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/output/annotated_postmates.png,x1_x2_y1_y2,True,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/postmates.png,True,,,1.0,0.95,True,True,10.799209034303885,6.0,4.0,6.0,5.333333333333333,Disclosure appears below total in screenshot annotation. Disclosure appears below primary CTA in screenshot annotation.,Provisional research index only; not a legal assessment.
C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/ubereats.txt,ubereats,True,this price was set by an algorithm using your personal data,This price was set by an algorithm using your personal data. Your location is used to help us calculate fees and savings. Prices may be lower in store.,28,151,inline_order_summary,False,,False,True,,,True,False,,0,,0,True,False,True,False,False,10,0,21.0,True,{},0,,,,,,,,,,,,,,,,True,True,False,False,0,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/ubereats.png,3323,1741,1617,2085,1048,912,90,82080,0.014187577123776413,True,True,True,False,True,True,,430.05028775714123,18.0,1451.4117265614193,-52,,,,,6,True,checkout_summary,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/output/annotated_ubereats.png,x1_x2_y1_y2,True,C:/Users/cmcke/OneDrive/Desktop/COS/COS 351/NYPersonalizedPricingTool/captures/ubereats.png,True,,,1.0,0.95,True,True,21.0,6.0,4.0,3.0,4.333333333333333,Disclosure appears below total in screenshot annotation.,Provisional research index only; not a legal assessment.
